"Multi-AI competing and winning against humans in iterated Rock-Paper-Scissors game
Lei Wang, Wenbin Huang, Yuanpeng Li, Julian Evans, Sailing He*
Supplementary Information 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Below we give all 11 players' original experiment data when they played against our Multi-10 AI algorithm. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Player 42 Data:
Round number:",Player 42 played:,AI 1 played:,AI 1 Score:,AI 1 Last 5 Rounds Total Score:,AI 2 played:,AI 2 Score:,AI 2 Last 5 Rounds Total Score:,AI 3 played:,AI 3 Score:,AI 3 Last 5 Rounds Total Score:,AI 4 played:,AI 4 Score:,AI 4 Last 5 Rounds Total Score:,AI 5 played:,AI 5 Score:,AI 5 Last 5 Rounds Total Score:,AI 6 played:,AI 6 Score:,AI 6 Last 5 Rounds Total Score:,AI 7 played:,AI 7 Score:,AI 7 Last 5 Rounds Total Score:,AI 8 played:,AI 8 Score:,AI 8 Last 5 Rounds Total Score:,AI 9 played:,AI 9 Score:,AI 9 Last 5 Rounds Total Score:,AI 10 played:,AI 10 Score:,AI 10 Last 5 Rounds Total Score:,Multi AI played:
77,P,R,-1,-2,P,0,-2,P,0,-2,P,0,0,P,0,0,P,0,2,S,1,5,P,0,0,S,1,1,S,1,0,S
78,S,R,1,-3,R,1,-1,S,0,-3,R,1,1,R,1,0,P,-1,2,P,-1,5,S,0,1,S,0,3,P,-1,0,P
79,R,S,-1,-1,P,1,-1,P,1,-2,P,1,1,P,1,0,S,-1,0,P,1,3,R,0,1,R,0,3,R,0,0,P
80,R,R,0,-1,R,0,1,S,-1,0,R,0,2,S,-1,2,S,-1,-2,P,1,3,P,1,1,S,-1,3,R,0,1,P
81,S,S,0,-1,R,1,2,R,1,0,R,1,3,S,0,2,P,-1,-4,P,-1,3,P,-1,1,R,1,1,R,1,1,P
82,R,S,-1,-1,S,-1,3,S,-1,1,S,-1,3,S,-1,1,S,-1,-4,R,0,1,S,-1,0,R,0,1,P,1,1,R
83,S,R,1,-1,P,-1,2,R,1,0,R,1,2,R,1,0,S,0,-5,S,0,0,R,1,-1,R,1,0,S,0,1,S
84,P,S,1,-1,R,-1,0,P,0,1,S,1,2,P,0,0,P,0,-4,R,-1,1,P,0,0,P,0,1,S,1,2,R
85,P,P,0,1,P,0,-2,S,1,0,R,-1,2,R,-1,-1,S,1,-3,R,-1,-1,P,0,0,S,1,1,R,-1,3,R
86,R,P,1,1,S,-1,-2,R,0,2,S,-1,1,R,0,-1,P,1,-1,R,0,-3,R,0,-1,P,1,3,R,0,2,S
87,P,R,-1,2,P,0,-4,R,-1,1,P,0,-1,R,-1,-1,S,1,1,S,1,-2,S,1,0,R,-1,3,P,0,1,R
88,S,R,1,2,R,1,-3,R,1,1,R,1,0,P,-1,-1,P,-1,3,R,1,-1,R,1,2,S,0,2,R,1,0,R
89,R,P,1,2,P,1,-1,S,-1,1,S,-1,0,R,0,-3,R,0,2,S,-1,0,P,1,2,R,0,1,S,-1,1,S
90,R,R,0,2,P,1,1,S,-1,0,R,0,-2,R,0,-3,P,1,2,P,1,0,P,1,3,R,0,1,S,-1,-1,R
91,S,R,1,2,R,1,2,R,1,-2,R,1,-1,P,-1,-2,R,1,2,S,0,2,P,-1,4,P,-1,0,P,-1,-1,R
92,P,P,0,2,S,1,4,S,1,-1,P,0,1,S,1,-3,S,1,2,R,-1,2,R,-1,3,P,0,-2,P,0,-2,P
93,R,R,0,3,P,1,5,R,0,1,R,0,1,R,0,-1,R,0,2,S,-1,0,R,0,1,P,1,-1,P,1,-2,R
94,P,S,1,2,S,1,5,S,1,0,S,1,0,S,1,0,P,0,3,S,1,-2,S,1,0,S,1,0,R,-1,-2,P
95,R,P,1,2,S,-1,5,S,-1,2,P,1,2,S,-1,1,S,-1,3,R,0,0,P,1,0,P,1,1,P,1,-2,S
96,P,R,-1,3,S,1,3,R,-1,2,R,-1,3,R,-1,0,S,1,1,R,-1,-1,R,-1,0,R,-1,2,R,-1,0,R
97,S,P,-1,1,R,1,3,P,-1,0,R,1,1,R,1,0,R,1,1,R,1,-2,P,-1,0,R,1,2,P,-1,0,R
98,P,S,1,0,P,0,3,S,1,-2,P,0,2,S,1,0,S,1,1,S,1,0,R,-1,0,P,0,3,R,-1,-1,P
99,R,P,1,1,P,1,2,P,1,-1,S,-1,2,P,1,1,P,1,2,P,1,2,P,1,-1,R,0,2,S,-1,-3,P
100,P,S,1,1,P,0,2,S,1,-1,S,1,0,S,1,1,R,-1,3,R,-1,2,R,-1,-1,R,-1,1,P,0,-3,P
101,S,R,1,1,R,1,3,P,-1,1,P,-1,0,R,1,3,R,1,3,R,1,1,S,0,-3,R,1,-1,S,0,-4,R
102,P,P,0,3,P,0,3,P,0,1,P,0,0,P,0,5,P,0,3,P,0,3,S,1,-2,P,0,1,P,0,-3,P
103,R,R,0,4,P,1,2,S,-1,2,P,1,-1,P,1,4,R,0,2,S,-1,2,R,0,0,R,0,0,R,0,-2,P
104,P,S,1,3,R,-1,3,R,-1,0,S,1,0,S,1,4,S,1,1,S,1,0,S,1,1,P,0,0,S,1,-1,R
105,S,R,1,3,R,1,1,P,-1,-2,R,1,2,P,-1,4,R,1,1,R,1,0,P,-1,1,S,0,0,P,-1,1,P
106,P,P,0,3,S,1,2,P,0,-4,S,1,2,P,0,2,S,1,3,S,1,2,S,1,1,R,-1,1,R,-1,0,S
107,R,S,-1,2,P,1,2,P,1,-3,P,1,4,P,1,1,P,1,3,P,1,2,P,1,2,P,1,-1,P,1,-1,P
108,P,S,1,1,S,1,3,S,1,-2,R,-1,5,S,1,2,S,1,4,S,1,3,S,1,2,S,1,0,S,1,0,S
109,P,P,0,2,R,-1,3,S,1,0,P,0,3,R,-1,2,R,-1,5,R,-1,5,R,-1,3,R,-1,1,R,-1,1,R
110,S,P,-1,1,R,1,3,R,1,2,R,1,2,R,1,0,P,-1,3,P,-1,3,P,-1,1,S,0,0,S,0,-1,P
111,P,P,0,-1,P,0,3,P,0,4,P,0,2,P,0,2,P,0,1,P,0,1,R,-1,1,S,1,0,R,-1,0,P
112,R,P,1,-1,R,0,2,P,1,4,S,-1,1,R,0,2,S,-1,0,R,0,0,S,-1,-1,R,0,2,S,-1,0,S
113,P,S,1,1,S,1,1,S,1,4,S,1,-1,S,1,1,P,0,-2,S,1,-1,P,0,-3,R,-1,1,S,1,-2,S
114,S,P,-1,1,P,-1,1,P,-1,4,R,1,1,R,1,1,S,0,-3,P,-1,-1,R,1,-4,S,0,-1,S,0,-2,P
115,P,S,1,0,P,0,1,S,1,2,P,0,2,P,0,3,P,0,-2,P,0,-1,S,1,-2,P,0,0,S,1,-1,P
116,R,S,-1,2,S,-1,0,P,1,2,P,1,1,P,1,2,P,1,-1,P,1,0,P,1,0,R,0,0,R,0,0,P
117,P,S,1,1,S,1,-1,S,1,3,R,-1,2,S,1,3,R,-1,0,S,1,1,S,1,2,R,-1,-1,S,1,1,S
118,R,P,1,1,R,0,0,P,1,3,S,-1,2,R,0,4,R,0,0,R,0,2,S,-1,4,S,-1,-2,R,0,3,P
119,S,S,0,1,S,0,-1,R,1,3,S,0,0,S,0,3,R,1,0,P,-1,1,P,-1,3,R,1,-2,P,-1,2,R
120,R,P,1,2,R,0,0,P,1,5,P,1,-1,S,-1,2,S,-1,1,S,-1,1,S,-1,1,R,0,-1,P,1,1,P
121,P,P,0,2,P,0,0,R,-1,5,R,-1,0,R,-1,1,R,-1,0,S,1,0,R,-1,-1,S,1,-1,P,0,1,R
